Diet Type,Day,Meal,Dish Combo,Ingredients (per serving),Healthy Tag,Calories (kcal),Carbs (g),Protein (g),Fats (g),Batch
Vegetarian,1,Breakfast,Idli,"Rice 50g, Urad Dal 20g, Salt 2g",Healthy,240,45,8,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,1,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,1,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,1,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,1,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,1,Day Total,,—,Balanced,1440,242,46,30,.\batch1_vegetarian_mealplan.csv
Vegetarian,2,Breakfast,Dosa,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,260,42,9,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,2,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,2,Lunch,Pulusu+Rice,"Rice 50g, Vegetable 100g, Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch1_vegetarian_mealplan.csv
Vegetarian,2,Evening Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,2,Dinner,Pulusu+Rice,"Rice 50g, Vegetable 100g, Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch1_vegetarian_mealplan.csv
Vegetarian,2,Day Total,,—,Balanced,1580,246,45,41,.\batch1_vegetarian_mealplan.csv
Vegetarian,3,Breakfast,Pesarattu,"Green Gram 60g, Chili 5g, Cumin 2g, Oil 5ml, Salt 2g",Healthy,330,52,11,6,.\batch1_vegetarian_mealplan.csv
Vegetarian,3,Morning Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,3,Lunch,Kura+Rice,"Rice 50g, Vegetable 120g, Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,3,Evening Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,3,Dinner,Kura+Rice,"Rice 50g, Vegetable 120g, Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,3,Day Total,,—,Balanced,1490,233,45,35,.\batch1_vegetarian_mealplan.csv
Vegetarian,4,Breakfast,Upma,"Rava/Sooji 50g, Curry Leaves 2g, Mustard 2g, Chili 5g, Oil 5ml, Salt 2g",Healthy,320,50,8,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,4,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,4,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,4,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,4,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,4,Day Total,,—,Balanced,1520,247,46,35,.\batch1_vegetarian_mealplan.csv
Vegetarian,5,Breakfast,Uttapam,"Idli-Dosa Batter 70g, Tomato 20g, Chili 5g, Oil 5ml, Salt 2g",Healthy,300,50,8,6,.\batch1_vegetarian_mealplan.csv
Vegetarian,5,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,5,Lunch,Pulusu+Rice,"Rice 50g, Vegetable 100g, Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch1_vegetarian_mealplan.csv
Vegetarian,5,Evening Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,5,Dinner,Pulusu+Rice,"Rice 50g, Vegetable 100g, Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch1_vegetarian_mealplan.csv
Vegetarian,5,Day Total,,—,Balanced,1620,254,44,38,.\batch1_vegetarian_mealplan.csv
Vegetarian,6,Breakfast,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,6,Morning Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,6,Lunch,Kura+Rice,"Rice 50g, Vegetable 120g, Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,6,Evening Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,6,Dinner,Kura+Rice,"Rice 50g, Vegetable 120g, Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,6,Day Total,,—,Balanced,1420,216,41,37,.\batch1_vegetarian_mealplan.csv
Vegetarian,7,Breakfast,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,7,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,7,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,7,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,7,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,7,Day Total,,—,Balanced,1500,237,46,36,.\batch1_vegetarian_mealplan.csv
Vegetarian,8,Breakfast,Dibba Rotti,"Urad Dal 30g, Rice 60g, Oil 5ml, Salt 2g",Healthy,280,44,7,6,.\batch1_vegetarian_mealplan.csv
Vegetarian,8,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,8,Lunch,Pulusu+Rice,"Rice 50g, Vegetable 100g, Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch1_vegetarian_mealplan.csv
Vegetarian,8,Evening Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,8,Dinner,Pulusu+Rice,"Rice 50g, Vegetable 100g, Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch1_vegetarian_mealplan.csv
Vegetarian,8,Day Total,,—,Balanced,1600,248,43,38,.\batch1_vegetarian_mealplan.csv
Vegetarian,9,Breakfast,Idli,"Rice 50g, Urad Dal 20g, Salt 2g",Healthy,240,45,8,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,9,Morning Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,9,Lunch,Kura+Rice,"Rice 50g, Vegetable 120g, Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,9,Evening Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,9,Dinner,Kura+Rice,"Rice 50g, Vegetable 120g, Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,9,Day Total,,—,Balanced,1400,226,42,32,.\batch1_vegetarian_mealplan.csv
Vegetarian,10,Breakfast,Dosa,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,260,42,9,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,10,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,10,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,10,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,10,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,10,Day Total,,—,Balanced,1460,239,47,36,.\batch1_vegetarian_mealplan.csv
Vegetarian,11,Breakfast,Pesarattu,"Green Gram 60g, Chili 5g, Cumin 2g, Oil 5ml, Salt 2g",Healthy,330,52,11,6,.\batch1_vegetarian_mealplan.csv
Vegetarian,11,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,11,Lunch,Pulusu+Rice,"Rice 50g, Vegetable 100g, Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch1_vegetarian_mealplan.csv
Vegetarian,11,Evening Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,11,Dinner,Pulusu+Rice,"Rice 50g, Vegetable 100g, Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch1_vegetarian_mealplan.csv
Vegetarian,11,Day Total,,—,Balanced,1650,256,47,38,.\batch1_vegetarian_mealplan.csv
Vegetarian,12,Breakfast,Upma,"Rava/Sooji 50g, Curry Leaves 2g, Mustard 2g, Chili 5g, Oil 5ml, Salt 2g",Healthy,320,50,8,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,12,Morning Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,12,Lunch,Kura+Rice,"Rice 50g, Vegetable 120g, Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,12,Evening Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,12,Dinner,Kura+Rice,"Rice 50g, Vegetable 120g, Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,12,Day Total,,—,Balanced,1480,231,42,37,.\batch1_vegetarian_mealplan.csv
Vegetarian,13,Breakfast,Uttapam,"Idli-Dosa Batter 70g, Tomato 20g, Chili 5g, Oil 5ml, Salt 2g",Healthy,300,50,8,6,.\batch1_vegetarian_mealplan.csv
Vegetarian,13,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,13,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,13,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,13,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,13,Day Total,,—,Balanced,1500,247,46,33,.\batch1_vegetarian_mealplan.csv
Vegetarian,14,Breakfast,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,14,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,14,Lunch,Pulusu+Rice,"Rice 50g, Vegetable 100g, Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch1_vegetarian_mealplan.csv
Vegetarian,14,Evening Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,14,Dinner,Pulusu+Rice,"Rice 50g, Vegetable 100g, Tamarind 5g, Chili 5g, Curry Leaves 2g, Oil 5ml, Spices 5g",Healthy,360,62,10,7,.\batch1_vegetarian_mealplan.csv
Vegetarian,14,Day Total,,—,Balanced,1580,239,43,40,.\batch1_vegetarian_mealplan.csv
Vegetarian,15,Breakfast,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,15,Morning Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,15,Lunch,Kura+Rice,"Rice 50g, Vegetable 120g, Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,15,Evening Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,15,Dinner,Kura+Rice,"Rice 50g, Vegetable 120g, Tomato 20g, Curry Leaves 2g, Mustard Seeds 2g, Oil 5ml, Spices 5g",Healthy,370,58,11,9,.\batch1_vegetarian_mealplan.csv
Vegetarian,15,Day Total,,—,Balanced,1460,221,42,38,.\batch1_vegetarian_mealplan.csv
Vegetarian,16,Breakfast,Dibba Rotti,"Urad Dal 30g, Rice 60g, Oil 5ml, Salt 2g",Healthy,280,44,7,6,.\batch1_vegetarian_mealplan.csv
Vegetarian,16,Morning Snack,Punugulu,"Idli-Dosa Batter 60g, Rice Flour 20g, Oil 5ml, Salt 2g",Healthy,260,35,7,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,16,Lunch,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,16,Evening Snack,Corn,"Corn 80g, Chili Powder 2g, Lemon Juice 5ml, Salt 2g",Healthy,160,30,5,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,16,Dinner,Pappu+Rice,"Rice 60g, Toor Dal 20g, Tomato 20g, Oil 5ml, Spices 5g",Healthy,390,66,13,8,.\batch1_vegetarian_mealplan.csv
Vegetarian,16,Day Total,,—,Balanced,1480,241,45,33,.\batch1_vegetarian_mealplan.csv
Vegetarian,17,Breakfast,Idli,"Rice 50g, Urad Dal 20g, Salt 2g",Healthy,240,45,8,3,.\batch1_vegetarian_mealplan.csv
Vegetarian,17,Morning Snack,Garelu,"Urad Dal 60g, Rice Flour 10g, Oil 5ml, Salt 2g",Healthy,300,40,8,9,.\batch1_vegetarian_mealplan.csv
