Diet Type,Day,Meal,Dish Combo,Ingredients (per serving),Healthy Tag,Calories (kcal),Carbs (g),Protein (g),Fats (g)
Vegetarian,1,Breakfast,Benne Dosa,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,202,37,5,3
Vegetarian,1,Morning Snack,Coriander Stems Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,122,15,4,5
Vegetarian,1,Lunch,Mixed Veg Sambar + Peas Pulao + Tomato Palya,"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Tomato 100g, Onion 20g, Green Chili 5g, Mustard Seeds 2g, Curry Leaves 2g, Oil 5ml",Healthy,494,76,16,12
Vegetarian,1,Evening Snack,Chaas with Roasted Cumin,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,170,16,4,6
Vegetarian,1,Dinner,Parotta + Cowpeas Kurma,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,328,47,9,9
Vegetarian,1,Day Total,,—,Balanced,1316,191,38,35
Vegetarian,2,Breakfast,Mandakki Oggarane,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,326,51,9,9
Vegetarian,2,Morning Snack,Spinach Pepper Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,153,15,6,8
Vegetarian,2,Lunch,Ridge Gourd Dal + Malnad Pulav + Capsicum Palya,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Capsicum 100g, Onion 20g, Green Chili 5g, Mustard Seeds 2g, Curry Leaves 2g, Oil 5ml",Healthy,474,86,16,11
Vegetarian,2,Evening Snack,Beans Kootu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,166,14,6,8
Vegetarian,2,Dinner,Rava Dosa + Chicken Saaru,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,303,46,9,8
Vegetarian,2,Day Total,,—,Balanced,1422,212,46,44
Vegetarian,3,Breakfast,Chicken Upma Cup,"Rava 40g, Onion 20g, Green Chili 5g, Curry Leaves 2g, Oil 5ml",Healthy,328,54,9,8
Vegetarian,3,Morning Snack,Broccoli Kootu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,126,15,4,4
Vegetarian,3,Lunch,Onion Sambar + Tomato Rice + Sprouted Moong Usli,"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Pulses 40g, Onion 20g, Curry Leaves 2g, Coconut 10g, Oil 5ml",Healthy,544,90,18,14
Vegetarian,3,Evening Snack,Chow Chow Tovve,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,115,12,4,5
Vegetarian,3,Dinner,Kotte Kadubu + Lentil Sprouts Sagu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Lentil 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,330,54,9,8
Vegetarian,3,Day Total,,—,Balanced,1443,225,44,39
Vegetarian,4,Breakfast,Tender Coconut Malai,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,166,17,5,6
Vegetarian,4,Morning Snack,Knol Khol Koddelu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,116,15,4,5
Vegetarian,4,Lunch,Mysore Rasam + Jeera Rice + Broccoli Sagu,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Broccoli 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,470,80,16,13
Vegetarian,4,Evening Snack,Cabbage Kootu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,173,13,5,8
Vegetarian,4,Dinner,Wheat Phulka + Carrot Coconut Curry,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Carrot 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,315,45,10,8
Vegetarian,4,Day Total,,—,Balanced,1240,170,40,40
Vegetarian,5,Breakfast,Masala Dosa,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,199,39,5,3
Vegetarian,5,Morning Snack,Ash Gourd Pepper Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,155,13,5,7
Vegetarian,5,Lunch,Onion Sambar + Coconut Rice + Beetroot Saaru,"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,526,84,18,16
Vegetarian,5,Evening Snack,Capsicum Tovve,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,118,13,4,5
Vegetarian,5,Dinner,Menthe Dosa + Moong Sprouts Masala,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Moong 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,308,44,9,9
Vegetarian,5,Day Total,,—,Balanced,1306,193,41,40
Vegetarian,6,Breakfast,Mixed Millet Dosa,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g",Healthy,191,35,5,3
Vegetarian,6,Morning Snack,Spinach Gojju,"Spinach 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,122,13,4,5
Vegetarian,6,Lunch,Huruli Saaru + Ghee Rice + Raw Banana Kayi Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,508,88,16,12
Vegetarian,6,Evening Snack,Ridge Gourd Masala,"Ridge 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,150,12,6,9
Vegetarian,6,Dinner,Onion Dosa + Knol Khol Koddelu,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,316,52,9,8
Vegetarian,6,Day Total,,—,Balanced,1287,200,40,37
Vegetarian,7,Breakfast,Nuchina Unde,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,182,36,5,3
Vegetarian,7,Morning Snack,Pumpkin Kayi Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,111,13,4,5
Vegetarian,7,Lunch,Avarekalu Saaru + Lemon Rice + Snake Gourd Mustard Curry,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Snake 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,576,72,19,16
Vegetarian,7,Evening Snack,Knol Khol Coconut Curry,"Knol 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,164,16,6,8
Vegetarian,7,Dinner,Parotta + Raw Banana Mustard Curry,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Raw 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,316,47,9,8
Vegetarian,7,Day Total,,—,Balanced,1349,184,43,40
Vegetarian,8,Breakfast,Chapati,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,199,31,5,3
Vegetarian,8,Morning Snack,Chow Chow Tovve,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,115,12,4,5
Vegetarian,8,Lunch,Onion Sambar + Tamarind Rice + Generic Item,"Rice 50g, Toor Dal 20g, Tamarind 5g, Onion 20g, Tomato 20g, Oil 5ml, Sambar Powder 5g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,760,126,22,17
Vegetarian,8,Evening Snack,Peanut Sundal,"Lentils 40g, Onion 20g, Tomato 20g, Turmeric 2g, Oil 5ml",Healthy,172,19,5,6
Vegetarian,8,Dinner,Onion Dosa + Bitter Gourd Mustard Curry,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Bitter 100g, Onion 20g, Tomato 20g, Coconut 20g, Tamarind 5g, Spices 5g, Oil 5ml",Healthy,362,53,11,10
Vegetarian,8,Day Total,,—,Balanced,1608,241,47,41
Vegetarian,9,Breakfast,Roasted Peanuts,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,169,16,5,6
Vegetarian,9,Morning Snack,Ash Gourd Pepper Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,155,13,5,7
Vegetarian,9,Lunch,Mangalore Saaru + Jeera Rice + Roasted Soy Nuts,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,545,80,17,13
Vegetarian,9,Evening Snack,Roasted Edamame,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,157,16,5,6
Vegetarian,9,Dinner,Adai Dosa + Groundnut Laddu,"Rice 50g, Urad Dal 15g, Oil 5ml, Salt 2g + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,352,52,11,9
Vegetarian,9,Day Total,,—,Balanced,1378,177,43,41
Vegetarian,10,Breakfast,Musk Melon,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,152,18,5,6
Vegetarian,10,Morning Snack,Ridge Gourd Kootu,"Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml",Healthy,111,13,4,6
Vegetarian,10,Lunch,Avarekalu Saaru + Lemon Rice + Field Beans Kayi Saaru,"Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml + Vegetables 100g, Onion 20g, Tomato 20g, Spices 5g, Oil 5ml + Rice 50g, Tamarind 5g, Tomato 20g, Pepper 2g, Curry Leaves 2g, Oil 5ml",Healthy,521,71,18,12
